route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
11,7,2284,"NLR BROAD ST VIA PENN",0,"007NK003",1260
11,7,2285,"NLR BROAD ST VIA PENN",0,"007NK004",1260
11,7,2286,"NLR BROAD ST VIA PENN",0,"007NK002",1260
11,7,2287,"NLR BROAD ST VIA PENN",0,"007NK001",1260
11,7,2288,"NLR BROAD ST VIA PENN",0,"007NK003",1260
11,7,2289,"NLR BROAD ST VIA PENN",0,"007NK004",1260
11,7,2290,"NLR BROAD ST VIA PENN",0,"007NK002",1260
11,7,2291,"NLR BROAD ST VIA PENN",0,"007NK001",1260
11,7,2292,"NLR BROAD ST VIA PENN",0,"007NK003",1260
11,7,2293,"NLR BROAD ST VIA PENN",0,"007NK004",1260
11,7,2294,"NLR BROAD ST VIA PENN",0,"007NK002",1260
11,7,2295,"NLR BROAD ST VIA PENN",0,"007NK001",1260
11,7,2296,"NLR BROAD ST VIA PENN",0,"007NK003",1260
11,7,2297,"NLR BROAD ST VIA PENN",0,"007NK004",1260
11,7,2298,"NLR BROAD ST VIA PENN",0,"007NK002",1260
11,7,2299,"NLR BROAD ST VIA PENN",0,"007NK001",1260
11,7,2300,"NLR BROAD ST VIA PENN",0,"007NK003",1260
11,7,2301,"NLR BROAD ST VIA PENN",0,"007NK004",1260
11,7,2302,"NLR BROAD ST VIA PENN",0,"007NK002",1260
11,7,2303,"NLR BROAD ST VIA PENN",0,"007NK001",1260
11,7,2304,"NLR BROAD ST VIA PENN",0,"007NK003",1260
11,7,2305,"NLR PENN STATION",0,"007NK004",1261
11,7,2306,"NLR PENN STATION",0,"007NK002",1261
11,7,2307,"NLR PENN STATION",0,"007NK001",1261
11,7,2308,"NLR PENN STATION",0,"007NK004",1261
11,7,2309,"NLR PENN STATION",0,"007NK003",1261
11,7,2310,"NLR PENN STATION",0,"007NK001",1261
11,7,2311,"NLR GROVE ST VIA PENN",1,"007NK002",1262
11,7,2312,"NLR GROVE ST VIA PENN",1,"007NK001",1262
11,7,2313,"NLR GROVE ST VIA PENN",1,"007NK003",1262
11,7,2314,"NLR GROVE ST VIA PENN",1,"007NK004",1262
11,7,2315,"NLR GROVE ST VIA PENN",1,"007NK002",1262
11,7,2316,"NLR GROVE ST VIA PENN",1,"007NK001",1262
11,7,2317,"NLR GROVE ST VIA PENN",1,"007NK003",1262
11,7,2318,"NLR GROVE ST VIA PENN",1,"007NK004",1262
11,7,2319,"NLR GROVE ST VIA PENN",1,"007NK002",1262
11,7,2320,"NLR GROVE ST VIA PENN",1,"007NK001",1262
11,7,2321,"NLR GROVE ST VIA PENN",1,"007NK003",1262
11,7,2322,"NLR GROVE ST VIA PENN",1,"007NK004",1262
11,7,2323,"NLR GROVE ST VIA PENN",1,"007NK002",1262
11,7,2324,"NLR GROVE ST VIA PENN",1,"007NK001",1262
11,7,2325,"NLR GROVE ST VIA PENN",1,"007NK003",1262
11,7,2326,"NLR GROVE ST VIA PENN",1,"007NK004",1262
11,7,2327,"NLR GROVE ST VIA PENN",1,"007NK002",1262
11,7,2328,"NLR GROVE ST VIA PENN",1,"007NK001",1262
11,7,2329,"NLR GROVE ST VIA PENN",1,"007NK003",1262
11,7,2330,"NLR GROVE ST VIA PENN",1,"007NK004",1262
11,7,2331,"NLR GROVE ST VIA PENN",1,"007NK002",1262
